od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Abdullah Hukum → Abdullah Hukum,1.0,0.0,0.0,1.0,0.0,0.0,9.0,7.0,8.0,14.0,15.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,64.0,64.0,37.0,19.0,15.0,0.0
Abdullah Hukum → Angkasapuri,0.0,0.0,0.0,0.0,2.0,10.0,12.0,11.0,10.0,9.0,7.0,7.0,8.0,11.0,6.0,24.0,31.0,63.0,65.0,28.0,54.0,58.0,0.0,2.0
Abdullah Hukum → Bandar Tasek Selatan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,2.0,0.0,7.0,10.0,7.0,0.0,2.0,0.0
Abdullah Hukum → Bangi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,1.0,5.0,0.0,0.0
Abdullah Hukum → Bank Negara,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,29.0,11.0,3.0,0.0,4.0,0.0,0.0,4.0,3.0,3.0,9.0,2.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Batang Benar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Batang Kali,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,6.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,1.0,4.0,33.0,40.0,5.0,3.0,2.0
Abdullah Hukum → Batu Caves,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,4.0,5.0,0.0,0.0,1.0,0.0,10.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
Abdullah Hukum → Batu Tiga,0.0,0.0,0.0,0.0,0.0,0.0,35.0,19.0,18.0,11.0,12.0,10.0,10.0,3.0,11.0,6.0,24.0,118.0,574.0,561.0,151.0,44.0,45.0,3.0
Abdullah Hukum → Bukit Badak,1.0,0.0,0.0,0.0,0.0,0.0,25.0,11.0,4.0,2.0,12.0,2.0,6.0,0.0,4.0,7.0,7.0,42.0,648.0,2044.0,389.0,168.0,148.0,11.0
Abdullah Hukum → Jalan Kastam,1.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,5.0,13.0,696.0,244.0,71.0,21.0,4.0
Abdullah Hukum → Jalan Templer,0.0,0.0,0.0,0.0,0.0,0.0,14.0,27.0,9.0,2.0,8.0,5.0,13.0,4.0,7.0,8.0,10.0,69.0,705.0,447.0,116.0,217.0,116.0,7.0
Abdullah Hukum → KL Sentral,0.0,0.0,2.0,0.0,0.0,0.0,9.0,17.0,20.0,42.0,36.0,5.0,9.0,5.0,2.0,18.0,10.0,28.0,37.0,45.0,20.0,9.0,5.0,4.0
Abdullah Hukum → Kajang,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,5.0,19.0,2.0,0.0,1.0,0.0
Abdullah Hukum → Kajang 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Kampung Batu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0
Abdullah Hukum → Kampung Dato Harun,0.0,2.0,0.0,0.0,0.0,0.0,62.0,56.0,27.0,3.0,10.0,0.0,4.0,1.0,12.0,15.0,13.0,307.0,4064.0,2172.0,521.0,259.0,67.0,14.0
Abdullah Hukum → Kampung Raja Uda,5.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,8.0,2.0,4.0,1.0,2.0,2.0,2.0,7.0,4.0,22.0,38.0,1937.0,666.0,91.0,65.0,22.0
Abdullah Hukum → Kepong,0.0,0.0,0.0,0.0,0.0,1.0,11.0,3.0,2.0,1.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,46.0,63.0,52.0,28.0,26.0,5.0,1.0
Abdullah Hukum → Kepong Sentral,1.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,24.0,97.0,8.0,2.0,3.0,1.0,3.0,9.0,5.0,16.0,37.0,39.0,22.0,8.0,1.0,4.0
Abdullah Hukum → Klang,5.0,4.0,2.0,0.0,0.0,0.0,166.0,46.0,47.0,10.0,25.0,13.0,21.0,15.0,18.0,26.0,50.0,236.0,1392.0,4650.0,1851.0,634.0,351.0,54.0
Abdullah Hukum → Kuala Kubu Bharu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,13.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,5.0,23.0,5.0,3.0,2.0
Abdullah Hukum → Kuala Lumpur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,13.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0
Abdullah Hukum → Kuang,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.0,33.0,58.0,15.0,3.0,5.0,13.0
Abdullah Hukum → Labu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdullah Hukum → Midvalley,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0
