od_pair,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Alor Setar → Alor Setar,4.0,1.0,1.0,4.0,1.0,0.0,78.0,47.0,12.0,11.0,17.0,15.0,12.0,23.0,24.0,17.0,11.0,25.0,17.0,17.0,6.0,5.0,12.0,1.0
Alor Setar → Anak Bukit,3.0,3.0,0.0,1.0,1.0,5.0,74.0,98.0,92.0,97.0,54.0,118.0,78.0,139.0,118.0,215.0,214.0,267.0,323.0,164.0,104.0,49.0,71.0,7.0
Alor Setar → Arau,113.0,53.0,22.0,27.0,42.0,311.0,3574.0,4183.0,2948.0,2118.0,1176.0,1915.0,1517.0,2298.0,1901.0,3845.0,4693.0,5868.0,5709.0,4570.0,3641.0,1689.0,1782.0,394.0
Alor Setar → Bagan Serai,5.0,4.0,2.0,4.0,4.0,82.0,41.0,99.0,65.0,63.0,129.0,102.0,123.0,109.0,156.0,149.0,139.0,179.0,64.0,83.0,48.0,3.0,1.0,1.0
Alor Setar → Bukit Ketri,15.0,2.0,4.0,9.0,15.0,239.0,566.0,527.0,340.0,235.0,189.0,274.0,172.0,319.0,315.0,570.0,744.0,909.0,1383.0,878.0,598.0,275.0,286.0,75.0
Alor Setar → Bukit Mertajam,194.0,83.0,45.0,32.0,51.0,1636.0,4867.0,3807.0,3814.0,2387.0,3400.0,1717.0,4936.0,1689.0,2919.0,2844.0,3187.0,2963.0,3082.0,2992.0,1680.0,1800.0,426.0,424.0
Alor Setar → Bukit Tengah,102.0,50.0,13.0,14.0,84.0,2416.0,5348.0,5783.0,2586.0,1388.0,1584.0,875.0,1496.0,748.0,1231.0,1577.0,1575.0,1796.0,2013.0,1974.0,1066.0,1542.0,529.0,441.0
Alor Setar → Butterworth,488.0,199.0,80.0,79.0,132.0,2398.0,6840.0,7700.0,7908.0,4711.0,7434.0,3695.0,6559.0,3354.0,5546.0,5535.0,4790.0,4649.0,3802.0,3637.0,1631.0,1841.0,459.0,281.0
Alor Setar → Gurun,42.0,24.0,9.0,8.0,8.0,306.0,1408.0,1017.0,723.0,526.0,625.0,604.0,741.0,885.0,921.0,1638.0,1651.0,2465.0,2241.0,1338.0,710.0,703.0,415.0,26.0
Alor Setar → Ipoh,111.0,67.0,29.0,15.0,45.0,559.0,421.0,771.0,514.0,430.0,792.0,596.0,805.0,454.0,969.0,882.0,729.0,579.0,275.0,111.0,86.0,101.0,11.0,0.0
