date,time,origin,destination,ridership
2025-01-01,05:00,JB Sentral,Woodlands CIQ,121
2025-01-01,06:00,JB Sentral,Woodlands CIQ,124
2025-01-01,07:00,JB Sentral,Woodlands CIQ,340
2025-01-01,08:00,Woodlands CIQ,JB Sentral,322
2025-01-01,08:00,JB Sentral,Woodlands CIQ,323
2025-01-01,09:00,Woodlands CIQ,JB Sentral,322
2025-01-01,10:00,JB Sentral,Woodlands CIQ,10
2025-01-01,11:00,Woodlands CIQ,JB Sentral,17
2025-01-01,11:00,JB Sentral,Woodlands CIQ,330
2025-01-01,12:00,Woodlands CIQ,JB Sentral,328
2025-01-01,12:00,JB Sentral,Woodlands CIQ,325
2025-01-01,13:00,Woodlands CIQ,JB Sentral,326
2025-01-01,14:00,JB Sentral,Woodlands CIQ,323
2025-01-01,15:00,Woodlands CIQ,JB Sentral,325
2025-01-01,15:00,JB Sentral,Woodlands CIQ,327
2025-01-01,16:00,Woodlands CIQ,JB Sentral,132
2025-01-01,16:00,JB Sentral,Woodlands CIQ,326
2025-01-01,17:00,Woodlands CIQ,JB Sentral,80
2025-01-01,17:00,JB Sentral,Woodlands CIQ,323
2025-01-01,18:00,Woodlands CIQ,JB Sentral,132
2025-01-01,19:00,JB Sentral,Woodlands CIQ,322
2025-01-01,20:00,Woodlands CIQ,JB Sentral,87
2025-01-01,20:00,JB Sentral,Woodlands CIQ,320
2025-01-01,21:00,Woodlands CIQ,JB Sentral,96
2025-01-01,21:00,JB Sentral,Woodlands CIQ,320
2025-01-01,22:00,Woodlands CIQ,JB Sentral,62
2025-01-01,22:00,JB Sentral,Woodlands CIQ,320
2025-01-01,23:00,Woodlands CIQ,JB Sentral,36
2025-01-02,05:00,JB Sentral,Woodlands CIQ,640
2025-01-02,06:00,JB Sentral,Woodlands CIQ,640
2025-01-02,07:00,JB Sentral,Woodlands CIQ,640
2025-01-02,08:00,Woodlands CIQ,JB Sentral,323
2025-01-02,08:00,JB Sentral,Woodlands CIQ,322
2025-01-02,09:00,Woodlands CIQ,JB Sentral,320
2025-01-02,10:00,JB Sentral,Woodlands CIQ,323
2025-01-02,11:00,Woodlands CIQ,JB Sentral,322
2025-01-02,11:00,JB Sentral,Woodlands CIQ,295
2025-01-02,12:00,Woodlands CIQ,JB Sentral,322
2025-01-02,12:00,JB Sentral,Woodlands CIQ,273
2025-01-02,13:00,Woodlands CIQ,JB Sentral,326
2025-01-02,14:00,JB Sentral,Woodlands CIQ,323
2025-01-02,15:00,Woodlands CIQ,JB Sentral,213
2025-01-02,15:00,JB Sentral,Woodlands CIQ,324
2025-01-02,16:00,Woodlands CIQ,JB Sentral,103
2025-01-02,16:00,JB Sentral,Woodlands CIQ,332
2025-01-02,17:00,Woodlands CIQ,JB Sentral,203
2025-01-02,17:00,JB Sentral,Woodlands CIQ,323
2025-01-02,18:00,Woodlands CIQ,JB Sentral,320
2025-01-02,19:00,JB Sentral,Woodlands CIQ,321
2025-01-02,20:00,Woodlands CIQ,JB Sentral,320
2025-01-02,20:00,JB Sentral,Woodlands CIQ,323
2025-01-02,21:00,Woodlands CIQ,JB Sentral,322
2025-01-02,21:00,JB Sentral,Woodlands CIQ,323
2025-01-02,22:00,Woodlands CIQ,JB Sentral,147
2025-01-02,22:00,JB Sentral,Woodlands CIQ,320
2025-01-02,23:00,Woodlands CIQ,JB Sentral,61
2025-01-03,05:00,JB Sentral,Woodlands CIQ,616
2025-01-03,06:00,JB Sentral,Woodlands CIQ,640
2025-01-03,07:00,JB Sentral,Woodlands CIQ,640
2025-01-03,08:00,Woodlands CIQ,JB Sentral,322
2025-01-03,08:00,JB Sentral,Woodlands CIQ,322
2025-01-03,09:00,Woodlands CIQ,JB Sentral,321
2025-01-03,10:00,JB Sentral,Woodlands CIQ,237
2025-01-03,11:00,Woodlands CIQ,JB Sentral,322
2025-01-03,11:00,JB Sentral,Woodlands CIQ,178
2025-01-03,12:00,Woodlands CIQ,JB Sentral,320
2025-01-03,12:00,JB Sentral,Woodlands CIQ,117
2025-01-03,13:00,Woodlands CIQ,JB Sentral,323
2025-01-03,14:00,JB Sentral,Woodlands CIQ,229
2025-01-03,15:00,Woodlands CIQ,JB Sentral,323
2025-01-03,15:00,JB Sentral,Woodlands CIQ,288
2025-01-03,16:00,Woodlands CIQ,JB Sentral,323
2025-01-03,16:00,JB Sentral,Woodlands CIQ,323
